trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.6, 'e': 0.3887839180742268}",25,10,20.6577798372256,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.38489607889348454}",20,14,-19.4309169027851,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.38104711810454966}",20,0,20.149458342878038,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.37723664692350417}",20,7,-13.162480715247371,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.37346428045426916}",20,0,14.433509465341482,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.6, 'e': 0.36972963764972644}",25,17,7.817451087506156,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.3660323412732292}",30,5,-97.75389265884975,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",1
101,False,"{'a': 0.6, 'e': 0.3623720178604969}",20,0,18.21538529190631,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.3587482976818919}",25,12,-36.497269097958586,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.6, 'e': 0.355160814705073}",20,0,-4.540884217734719,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.6, 'e': 0.35160920655802225}",20,3,-27.696227570666593,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.348093114492442}",20,9,-34.23838546572092,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.6, 'e': 0.3446121833475176}",20,16,9.011235422014618,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.34116606151404244}",20,0,-136.51504533477652,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",0
108,False,"{'a': 0.6, 'e': 0.337754400898902}",20,11,16.290042927985176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.334376856889913}",20,10,-3.5624037378378715,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.33103308832101386}",20,2,17.088707981412814,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
